ID,Ciudad,Insolacion
1,Aguascalientes,5.91
2,Tijuana ,5.07
3,Mexicali,5.27
4,La Paz,5.59
5,Campeche ,5.85
6,Tuxtla Gutiérrez,5.15
7,Juárez,5.33
8,Chihuahua,5.59
9,Saltillo,5.16
10,Torreón,5.58
11,Colima,5.61
12,Ciudad de México,5.46
13,Durango ,5.73
14,Toluca,5.46
15,León,5.79
16,Guanajuato,5.79
17,Acapulco,6.14
18,Chilpancingo,5.68
19,Pachuca,5.16
20,Guadalajara,5.81
21,Morelia,5.58
22,Cuernavaca,5.94
23,Tepic,5.88
24,Monterrey,4.94
25,Guadalupe,5.5
26,Oaxaca,5.26
27,Puebla,5.4
28,Querétaro,5.86
29,Cancún,5.69
30,Chetumal,4.98
31,San Luis Potosí,5.49
32,Culiacán,5.98
33,Hermosillo,5.73
34,Villahermosa,4.94
35,Reynosa,4.87
36,Ciudad Victoria,5.28
37,Tlaxcala,5.4
38,Xalapa,4.6
39,Mérida,5.3
40,Zacatecas,5.76
